Term,Date,Value
AI literacy,1/1/2010,0
AI literacy,2/1/2010,0
AI literacy,3/1/2010,0
AI literacy,4/1/2010,0
AI literacy,5/1/2010,0
AI literacy,6/1/2010,0
AI literacy,7/1/2010,0
AI literacy,8/1/2010,0
AI literacy,9/1/2010,0
AI literacy,10/1/2010,0
AI literacy,11/1/2010,0
AI literacy,12/1/2010,0
AI literacy,1/1/2011,0
AI literacy,2/1/2011,0
AI literacy,3/1/2011,0
AI literacy,4/1/2011,0
AI literacy,5/1/2011,0
AI literacy,6/1/2011,0
AI literacy,7/1/2011,0
AI literacy,8/1/2011,0
AI literacy,9/1/2011,0
AI literacy,10/1/2011,0
AI literacy,11/1/2011,0
AI literacy,12/1/2011,0
AI literacy,1/1/2012,0
AI literacy,2/1/2012,0
AI literacy,3/1/2012,0
AI literacy,4/1/2012,0
AI literacy,5/1/2012,0
AI literacy,6/1/2012,0
AI literacy,7/1/2012,0
AI literacy,8/1/2012,0
AI literacy,9/1/2012,0
AI literacy,10/1/2012,0
AI literacy,11/1/2012,0
AI literacy,12/1/2012,0
AI literacy,1/1/2013,0
AI literacy,2/1/2013,0
AI literacy,3/1/2013,0
AI literacy,4/1/2013,0
AI literacy,5/1/2013,0
AI literacy,6/1/2013,0
AI literacy,7/1/2013,0
AI literacy,8/1/2013,0
AI literacy,9/1/2013,0
AI literacy,10/1/2013,0
AI literacy,11/1/2013,0
AI literacy,12/1/2013,0
AI literacy,1/1/2014,0
AI literacy,2/1/2014,0
AI literacy,3/1/2014,0
AI literacy,4/1/2014,0
AI literacy,5/1/2014,0
AI literacy,6/1/2014,0
AI literacy,7/1/2014,0
AI literacy,8/1/2014,0
AI literacy,9/1/2014,0
AI literacy,10/1/2014,0
AI literacy,11/1/2014,0
AI literacy,12/1/2014,0
AI literacy,1/1/2015,0
AI literacy,2/1/2015,0
AI literacy,3/1/2015,0
AI literacy,4/1/2015,0
AI literacy,5/1/2015,0
AI literacy,6/1/2015,0
AI literacy,7/1/2015,0
AI literacy,8/1/2015,0
AI literacy,9/1/2015,0
AI literacy,10/1/2015,0
AI literacy,11/1/2015,0
AI literacy,12/1/2015,0
AI literacy,1/1/2016,0
AI literacy,2/1/2016,0
AI literacy,3/1/2016,0
AI literacy,4/1/2016,0
AI literacy,5/1/2016,0
AI literacy,6/1/2016,0
AI literacy,7/1/2016,0
AI literacy,8/1/2016,0
AI literacy,9/1/2016,0
AI literacy,10/1/2016,0
AI literacy,11/1/2016,0
AI literacy,12/1/2016,0
AI literacy,1/1/2017,0
AI literacy,2/1/2017,0
AI literacy,3/1/2017,0
AI literacy,4/1/2017,0
AI literacy,5/1/2017,0
AI literacy,6/1/2017,0
AI literacy,7/1/2017,0
AI literacy,8/1/2017,0
AI literacy,9/1/2017,0
AI literacy,10/1/2017,0
AI literacy,11/1/2017,0
AI literacy,12/1/2017,0.3983770402436285
AI literacy,1/1/2018,0
AI literacy,2/1/2018,0
AI literacy,3/1/2018,0
AI literacy,4/1/2018,0
AI literacy,5/1/2018,0
AI literacy,6/1/2018,0
AI literacy,7/1/2018,0
AI literacy,8/1/2018,0
AI literacy,9/1/2018,0
AI literacy,10/1/2018,0
AI literacy,11/1/2018,0
AI literacy,12/1/2018,0
AI literacy,1/1/2019,0
AI literacy,2/1/2019,0
AI literacy,3/1/2019,0
AI literacy,4/1/2019,0
AI literacy,5/1/2019,0
AI literacy,6/1/2019,0
AI literacy,7/1/2019,0
AI literacy,8/1/2019,0
AI literacy,9/1/2019,0
AI literacy,10/1/2019,0
AI literacy,11/1/2019,0
AI literacy,12/1/2019,0
AI literacy,1/1/2020,0
AI literacy,2/1/2020,0
AI literacy,3/1/2020,0
AI literacy,4/1/2020,0
AI literacy,5/1/2020,0
AI literacy,6/1/2020,0
AI literacy,7/1/2020,0
AI literacy,8/1/2020,0
AI literacy,9/1/2020,0
AI literacy,10/1/2020,0
AI literacy,11/1/2020,0
AI literacy,12/1/2020,0
AI literacy,1/1/2021,0
AI literacy,2/1/2021,0
AI literacy,3/1/2021,0
AI literacy,4/1/2021,0
AI literacy,5/1/2021,0
AI literacy,6/1/2021,0
AI literacy,7/1/2021,0
AI literacy,8/1/2021,0
AI literacy,9/1/2021,0
AI literacy,10/1/2021,0
AI literacy,11/1/2021,0
AI literacy,12/1/2021,0
AI literacy,1/1/2022,0
AI literacy,2/1/2022,0
AI literacy,3/1/2022,0
AI literacy,4/1/2022,0
AI literacy,5/1/2022,0
AI literacy,6/1/2022,0
AI literacy,7/1/2022,0
AI literacy,8/1/2022,0
AI literacy,9/1/2022,0
AI literacy,10/1/2022,0.42175368371854544
AI literacy,11/1/2022,0.3881273982757686
AI literacy,12/1/2022,0.6895512379376227
AI literacy,1/1/2023,0.6406395819989119
AI literacy,2/1/2023,0.6207196848790401
AI literacy,3/1/2023,0.9332006699406064
AI literacy,4/1/2023,0.8839544752981793
AI literacy,5/1/2023,1.2428730895997868
AI literacy,6/1/2023,1.1049464231179928
AI literacy,7/1/2023,1.3481467785801675
AI literacy,8/1/2023,1.6829260946931872
AI literacy,9/1/2023,2.0436651084154582
AI literacy,10/1/2023,2.342598191307995
AI literacy,11/1/2023,2.452156135222177
AI literacy,12/1/2023,2.506312253523317
AI literacy,1/1/2024,2.851593733016111
AI literacy,2/1/2024,3.4530337436411
AI literacy,3/1/2024,3.278162072365428
AI literacy,4/1/2024,5.011389828930982
AI literacy,5/1/2024,3.7201679894149073
AI literacy,6/1/2024,2.678323495795745
AI literacy,7/1/2024,2.3290738872568637
AI literacy,8/1/2024,3.7851140827754723
Tech accessibility,1/1/2010,0
Tech accessibility,2/1/2010,0
Tech accessibility,3/1/2010,0
Tech accessibility,4/1/2010,0
Tech accessibility,5/1/2010,0
Tech accessibility,6/1/2010,0
Tech accessibility,7/1/2010,0
Tech accessibility,8/1/2010,0
Tech accessibility,9/1/2010,0
Tech accessibility,10/1/2010,0
Tech accessibility,11/1/2010,0
Tech accessibility,12/1/2010,0
Tech accessibility,1/1/2011,0
Tech accessibility,2/1/2011,0
Tech accessibility,3/1/2011,0
Tech accessibility,4/1/2011,0
Tech accessibility,5/1/2011,0
Tech accessibility,6/1/2011,0
Tech accessibility,7/1/2011,0
Tech accessibility,8/1/2011,0
Tech accessibility,9/1/2011,0
Tech accessibility,10/1/2011,0
Tech accessibility,11/1/2011,0
Tech accessibility,12/1/2011,0
Tech accessibility,1/1/2012,0
Tech accessibility,2/1/2012,0
Tech accessibility,3/1/2012,0
Tech accessibility,4/1/2012,0
Tech accessibility,5/1/2012,0
Tech accessibility,6/1/2012,0
Tech accessibility,7/1/2012,0
Tech accessibility,8/1/2012,0
Tech accessibility,9/1/2012,0
Tech accessibility,10/1/2012,0
Tech accessibility,11/1/2012,0
Tech accessibility,12/1/2012,0
Tech accessibility,1/1/2013,0
Tech accessibility,2/1/2013,0
Tech accessibility,3/1/2013,0
Tech accessibility,4/1/2013,0
Tech accessibility,5/1/2013,0
Tech accessibility,6/1/2013,0
Tech accessibility,7/1/2013,0
Tech accessibility,8/1/2013,0
Tech accessibility,9/1/2013,0
Tech accessibility,10/1/2013,0
Tech accessibility,11/1/2013,0
Tech accessibility,12/1/2013,0
Tech accessibility,1/1/2014,0
Tech accessibility,2/1/2014,0
Tech accessibility,3/1/2014,0
Tech accessibility,4/1/2014,0
Tech accessibility,5/1/2014,0
Tech accessibility,6/1/2014,0
Tech accessibility,7/1/2014,0
Tech accessibility,8/1/2014,0
Tech accessibility,9/1/2014,0
Tech accessibility,10/1/2014,0
Tech accessibility,11/1/2014,0
Tech accessibility,12/1/2014,0
Tech accessibility,1/1/2015,0
Tech accessibility,2/1/2015,0
Tech accessibility,3/1/2015,0
Tech accessibility,4/1/2015,0
Tech accessibility,5/1/2015,0
Tech accessibility,6/1/2015,0
Tech accessibility,7/1/2015,0
Tech accessibility,8/1/2015,0
Tech accessibility,9/1/2015,0
Tech accessibility,10/1/2015,0
Tech accessibility,11/1/2015,0.5741072199057142
Tech accessibility,12/1/2015,0
Tech accessibility,1/1/2016,0
Tech accessibility,2/1/2016,0
Tech accessibility,3/1/2016,0
Tech accessibility,4/1/2016,0
Tech accessibility,5/1/2016,0
Tech accessibility,6/1/2016,0
Tech accessibility,7/1/2016,0
Tech accessibility,8/1/2016,0
Tech accessibility,9/1/2016,0
Tech accessibility,10/1/2016,0.5302943632210376
Tech accessibility,11/1/2016,0
Tech accessibility,12/1/2016,0.3823549415413898
Tech accessibility,1/1/2017,0.4458218881461123
Tech accessibility,2/1/2017,0
Tech accessibility,3/1/2017,0
Tech accessibility,4/1/2017,0
Tech accessibility,5/1/2017,0
Tech accessibility,6/1/2017,0
Tech accessibility,7/1/2017,0
Tech accessibility,8/1/2017,0
Tech accessibility,9/1/2017,0.42754849766271713
Tech accessibility,10/1/2017,0.6615927339400269
Tech accessibility,11/1/2017,0
Tech accessibility,12/1/2017,0.48211684159547485
Tech accessibility,1/1/2018,0
Tech accessibility,2/1/2018,0
Tech accessibility,3/1/2018,0
Tech accessibility,4/1/2018,0
Tech accessibility,5/1/2018,0
Tech accessibility,6/1/2018,0
Tech accessibility,7/1/2018,0.4118128079257402
Tech accessibility,8/1/2018,0
Tech accessibility,9/1/2018,0
Tech accessibility,10/1/2018,0
Tech accessibility,11/1/2018,0
Tech accessibility,12/1/2018,0
Tech accessibility,1/1/2019,0
Tech accessibility,2/1/2019,0
Tech accessibility,3/1/2019,0
Tech accessibility,4/1/2019,0
Tech accessibility,5/1/2019,0
Tech accessibility,6/1/2019,0
Tech accessibility,7/1/2019,0
Tech accessibility,8/1/2019,0
Tech accessibility,9/1/2019,0.4991463077727777
Tech accessibility,10/1/2019,0.37770547954548916
Tech accessibility,11/1/2019,0.4109535302695269
Tech accessibility,12/1/2019,0
Tech accessibility,1/1/2020,0.43572061348338875
Tech accessibility,2/1/2020,0
Tech accessibility,3/1/2020,0.27789162770044334
Tech accessibility,4/1/2020,0.3357953421248916
Tech accessibility,5/1/2020,0.32636815119423956
Tech accessibility,6/1/2020,0.38030468192267336
Tech accessibility,7/1/2020,0.3049303967605944
Tech accessibility,8/1/2020,0
Tech accessibility,9/1/2020,0.3006905218002367
Tech accessibility,10/1/2020,0.3196432463418215
Tech accessibility,11/1/2020,0
Tech accessibility,12/1/2020,0
Tech accessibility,1/1/2021,0
Tech accessibility,2/1/2021,0.41830310881797067
Tech accessibility,3/1/2021,0
Tech accessibility,4/1/2021,0.49486568130803293
Tech accessibility,5/1/2021,0
Tech accessibility,6/1/2021,0
Tech accessibility,7/1/2021,0.42213457835021384
Tech accessibility,8/1/2021,0.3900697480605069
Tech accessibility,9/1/2021,0
Tech accessibility,10/1/2021,0.5235669530897643
Tech accessibility,11/1/2021,0.3812554278997491
Tech accessibility,12/1/2021,0.3561034304139628
Tech accessibility,1/1/2022,0.5385759967546416
Tech accessibility,2/1/2022,0.6031850871329246
Tech accessibility,3/1/2022,0.3976781470288321
Tech accessibility,4/1/2022,0.6099429482797938
Tech accessibility,5/1/2022,0.8706112370818101
Tech accessibility,6/1/2022,0.40513686295963547
Tech accessibility,7/1/2022,0.4927826199022032
Tech accessibility,8/1/2022,0.6441162091844435
Tech accessibility,9/1/2022,0.4659796052566963
Tech accessibility,10/1/2022,0.6701222083221196
Tech accessibility,11/1/2022,0.8350836631050929
Tech accessibility,12/1/2022,0.6394768020276166
Tech accessibility,1/1/2023,0.7690850364318661
Tech accessibility,2/1/2023,0.8034691139639599
Tech accessibility,3/1/2023,0.5265348622284168
Tech accessibility,4/1/2023,0.9793375758628518
Tech accessibility,5/1/2023,0.820533652818265
Tech accessibility,6/1/2023,0.6136338495555734
Tech accessibility,7/1/2023,0.4251019285019104
Tech accessibility,8/1/2023,0.674037364248277
Tech accessibility,9/1/2023,0.9833142771317639
Tech accessibility,10/1/2023,0.6533673827175401
Tech accessibility,11/1/2023,0.576345950163178
Tech accessibility,12/1/2023,0.530010214858422
Tech accessibility,1/1/2024,0.794841745667502
Tech accessibility,2/1/2024,0.6720238547586085
Tech accessibility,3/1/2024,0.6484791402894431
Tech accessibility,4/1/2024,0.8082362489330828
