Term,Date,Value
Online learning,1/1/2010,274.67523715632075
Online learning,2/1/2010,256.12432652919415
Online learning,3/1/2010,247.6076093550506
Online learning,4/1/2010,235.52901455244674
Online learning,5/1/2010,217.67309799992174
Online learning,6/1/2010,202.23350071429428
Online learning,7/1/2010,154.78213125332394
Online learning,8/1/2010,186.44813439397785
Online learning,9/1/2010,229.79798984999954
Online learning,10/1/2010,207.83070504978852
Online learning,11/1/2010,209.70351713768608
Online learning,12/1/2010,174.81925118988045
Online learning,1/1/2011,235.88292667758418
Online learning,2/1/2011,234.81246482498037
Online learning,3/1/2011,220.73120214258583
Online learning,4/1/2011,203.52794918398254
Online learning,5/1/2011,198.64828241420372
Online learning,6/1/2011,185.31135022561435
Online learning,7/1/2011,169.24124795610882
Online learning,8/1/2011,188.7593427252415
Online learning,9/1/2011,243.66985369916
Online learning,10/1/2011,224.54946900720145
Online learning,11/1/2011,198.0925934693524
Online learning,12/1/2011,172.11075699967247
Online learning,1/1/2012,212.2375410666716
Online learning,2/1/2012,213.4052785811216
Online learning,3/1/2012,196.78199151651202
Online learning,4/1/2012,192.5984626614407
Online learning,5/1/2012,190.76003396230357
Online learning,6/1/2012,169.59196222083898
Online learning,7/1/2012,151.59038137556539
Online learning,8/1/2012,173.64928788612173
Online learning,9/1/2012,212.58127664260687
Online learning,10/1/2012,206.2743022561121
Online learning,11/1/2012,195.32167628829103
Online learning,12/1/2012,142.8272304872606
Online learning,1/1/2013,206.84560862983435
Online learning,2/1/2013,216.20083739954308
Online learning,3/1/2013,206.9567656455656
Online learning,4/1/2013,191.29858660083067
Online learning,5/1/2013,184.53311249130897
Online learning,6/1/2013,155.26519354129363
Online learning,7/1/2013,141.1637872285946
Online learning,8/1/2013,172.28135410527454
Online learning,9/1/2013,223.26846185484484
Online learning,10/1/2013,235.55967099080212
Online learning,11/1/2013,218.41728547191425
Online learning,12/1/2013,181.09853855632838
Online learning,1/1/2014,215.72427845744804
Online learning,2/1/2014,224.4387809328789
Online learning,3/1/2014,202.32117957753013
Online learning,4/1/2014,190.89884002512736
Online learning,5/1/2014,189.04297653849775
Online learning,6/1/2014,147.74413652479186
Online learning,7/1/2014,135.9583261235942
Online learning,8/1/2014,170.29442914573576
Online learning,9/1/2014,227.84288274441533
Online learning,10/1/2014,226.30057931733876
Online learning,11/1/2014,196.16762059007112
Online learning,12/1/2014,168.58895178751447
Online learning,1/1/2015,211.4973466516027
Online learning,2/1/2015,187.57419114056808
Online learning,3/1/2015,197.42139956309575
Online learning,4/1/2015,176.6664927557159
Online learning,5/1/2015,166.5378618629982
Online learning,6/1/2015,133.9227346066322
Online learning,7/1/2015,115.06646963819594
Online learning,8/1/2015,143.3786860234602
Online learning,9/1/2015,192.02966269316386
Online learning,10/1/2015,178.8738250487571
Online learning,11/1/2015,163.88486372367828
Online learning,12/1/2015,142.3884669970921
Online learning,1/1/2016,137.65365664793342
Online learning,2/1/2016,150.32694336585894
Online learning,3/1/2016,136.2741825353711
Online learning,4/1/2016,130.94449475622238
Online learning,5/1/2016,138.17472287192874
Online learning,6/1/2016,109.91531992386307
Online learning,7/1/2016,97.0339136500176
Online learning,8/1/2016,118.4712096298766
Online learning,9/1/2016,131.5956744303709
Online learning,10/1/2016,125.57116650826508
Online learning,11/1/2016,122.10810888905954
Online learning,12/1/2016,101.30164250683525
Online learning,1/1/2017,134.7502092446413
Online learning,2/1/2017,133.96400814158827
Online learning,3/1/2017,145.0396109828631
Online learning,4/1/2017,131.39879172230988
Online learning,5/1/2017,120.52930370088664
Online learning,6/1/2017,105.11628542980162
Online learning,7/1/2017,101.9015170746457
Online learning,8/1/2017,115.24855621161336
Online learning,9/1/2017,126.31219373662672
Online learning,10/1/2017,129.15270332146383
Online learning,11/1/2017,112.96859487054574
Online learning,12/1/2017,99.46018404360903
Online learning,1/1/2018,122.80436321269723
Online learning,2/1/2018,118.31045374627506
Online learning,3/1/2018,103.35213046845391
Online learning,4/1/2018,106.71212344754463
Online learning,5/1/2018,110.30076149016874
Online learning,6/1/2018,100.00292845811214
Online learning,7/1/2018,88.19905398179145
Online learning,8/1/2018,110.73291678320403
Online learning,9/1/2018,109.01923703785069
Online learning,10/1/2018,109.03059933099699
Online learning,11/1/2018,99.88666796073122
Online learning,12/1/2018,85.34667176993729
Online learning,1/1/2019,105.72002874924438
Online learning,2/1/2019,108.51309830520981
Online learning,3/1/2019,91.27754527519669
Online learning,4/1/2019,102.5218482671467
Online learning,5/1/2019,99.07169622169754
Online learning,6/1/2019,98.03884294498152
Online learning,7/1/2019,90.08306669242424
Online learning,8/1/2019,104.50770016333753
Online learning,9/1/2019,113.56516841517235
Online learning,10/1/2019,105.99623195328064
Online learning,11/1/2019,93.44317886941317
Online learning,12/1/2019,82.34873852884378
Online learning,1/1/2020,108.12728391078494
Online learning,2/1/2020,105.08534609146292
Online learning,3/1/2020,362.97326653372744
Online learning,4/1/2020,352.69062858029815
Online learning,5/1/2020,249.73214928451063
Online learning,6/1/2020,190.87476598454865
Online learning,7/1/2020,261.6264184058475
Online learning,8/1/2020,362.60705199454884
Online learning,9/1/2020,296.5815319699476
Online learning,10/1/2020,173.140613189416
Online learning,11/1/2020,134.71074888261415
Online learning,12/1/2020,120.20747959833943
Online learning,1/1/2021,132.13397362044552
Online learning,2/1/2021,126.83941198282425
Online learning,3/1/2021,111.59947764697121
Online learning,4/1/2021,113.36261565326429
Online learning,5/1/2021,110.22134550473339
Online learning,6/1/2021,94.59091811609062
Online learning,7/1/2021,98.95001109888658
Online learning,8/1/2021,132.55582171440733
Online learning,9/1/2021,128.57454919031602
Online learning,10/1/2021,120.58352688087203
Online learning,11/1/2021,113.91184144552811
Online learning,12/1/2021,97.60871325223651
Online learning,1/1/2022,138.47850111555903
Online learning,2/1/2022,128.8054687466073
Online learning,3/1/2022,122.59535954648244
Online learning,4/1/2022,132.96896873722181
