Term,Date,Value
AI skills,1/1/2010,0
AI skills,2/1/2010,0
AI skills,3/1/2010,0
AI skills,4/1/2010,0
AI skills,5/1/2010,0
AI skills,6/1/2010,0
AI skills,7/1/2010,0
AI skills,8/1/2010,0
AI skills,9/1/2010,0
AI skills,10/1/2010,0
AI skills,11/1/2010,0
AI skills,12/1/2010,0
AI skills,1/1/2011,0
AI skills,2/1/2011,0
AI skills,3/1/2011,0
AI skills,4/1/2011,0
AI skills,5/1/2011,0
AI skills,6/1/2011,0
AI skills,7/1/2011,0
AI skills,8/1/2011,0
AI skills,9/1/2011,0
AI skills,10/1/2011,0
AI skills,11/1/2011,0
AI skills,12/1/2011,0
AI skills,1/1/2012,0
AI skills,2/1/2012,0
AI skills,3/1/2012,0
AI skills,4/1/2012,0
AI skills,5/1/2012,0
AI skills,6/1/2012,0
AI skills,7/1/2012,0
AI skills,8/1/2012,0
AI skills,9/1/2012,0
AI skills,10/1/2012,0
AI skills,11/1/2012,0
AI skills,12/1/2012,0
AI skills,1/1/2013,0
AI skills,2/1/2013,0
AI skills,3/1/2013,0
AI skills,4/1/2013,0
AI skills,5/1/2013,0
AI skills,6/1/2013,0
AI skills,7/1/2013,0
AI skills,8/1/2013,0
AI skills,9/1/2013,0
AI skills,10/1/2013,0
AI skills,11/1/2013,0
AI skills,12/1/2013,0
AI skills,1/1/2014,0
AI skills,2/1/2014,0
AI skills,3/1/2014,0
AI skills,4/1/2014,0
AI skills,5/1/2014,0.5005256147758522
AI skills,6/1/2014,0
AI skills,7/1/2014,0
AI skills,8/1/2014,0
AI skills,9/1/2014,0
AI skills,10/1/2014,0
AI skills,11/1/2014,0
AI skills,12/1/2014,0
AI skills,1/1/2015,0
AI skills,2/1/2015,0
AI skills,3/1/2015,0
AI skills,4/1/2015,0
AI skills,5/1/2015,0
AI skills,6/1/2015,0
AI skills,7/1/2015,0
AI skills,8/1/2015,0
AI skills,9/1/2015,0
AI skills,10/1/2015,0
AI skills,11/1/2015,0
AI skills,12/1/2015,0
AI skills,1/1/2016,0
AI skills,2/1/2016,0
AI skills,3/1/2016,0
AI skills,4/1/2016,0.4334398046481044
AI skills,5/1/2016,0
AI skills,6/1/2016,0
AI skills,7/1/2016,0
AI skills,8/1/2016,0
AI skills,9/1/2016,0
AI skills,10/1/2016,0
AI skills,11/1/2016,0
AI skills,12/1/2016,0.4368563131763767
AI skills,1/1/2017,0
AI skills,2/1/2017,0.5184057770074255
AI skills,3/1/2017,0.5541555907815288
AI skills,4/1/2017,0.6639412873851281
AI skills,5/1/2017,0.527357800198103
AI skills,6/1/2017,0
AI skills,7/1/2017,0
AI skills,8/1/2017,0.5061145352283359
AI skills,9/1/2017,0.49319396869036064
AI skills,10/1/2017,1.1122038918983568
AI skills,11/1/2017,0.7663727880578661
AI skills,12/1/2017,0.7555921896442225
AI skills,1/1/2018,0.9752544268867924
AI skills,2/1/2018,1.0560444929337198
AI skills,3/1/2018,1.2084359591972658
AI skills,4/1/2018,0.89406884998204
AI skills,5/1/2018,1.091849254415211
AI skills,6/1/2018,0.7421730034192302
AI skills,7/1/2018,0.8098285248426372
AI skills,8/1/2018,0.8677964125823392
AI skills,9/1/2018,0.8224896076818446
AI skills,10/1/2018,1.1660830382196747
